date;num0;num1;num2;num3;num4
01/12/2025;38;46;11;13;14
29/11/2025;8;13;20;27;23
26/11/2025;14;16;26;9;33
24/11/2025;47;29;36;28;22
22/11/2025;7;10;45;34;40
19/11/2025;46;26;33;45;24
17/11/2025;26;45;28;17;7
15/11/2025;11;5;23;22;24
12/11/2025;8;29;33;37;3
10/11/2025;8;37;9;16;45
08/11/2025;16;32;48;36;27
05/11/2025;45;29;31;23;19
03/11/2025;32;3;49;29;2
01/11/2025;3;33;17;24;26
29/10/2025;7;6;45;34;35
27/10/2025;48;47;23;45;10
25/10/2025;6;16;4;5;35
22/10/2025;49;29;31;4;39
20/10/2025;38;24;12;43;34
18/10/2025;17;49;47;11;19
15/10/2025;17;1;22;9;48
13/10/2025;2;11;36;45;49
11/10/2025;5;3;40;32;12
08/10/2025;5;47;39;10;25
06/10/2025;22;10;30;1;26
04/10/2025;6;45;31;29;4
01/10/2025;10;5;41;35;44
29/09/2025;27;32;44;5;17
27/09/2025;45;46;3;19;11
24/09/2025;3;32;21;23;31
22/09/2025;10;41;5;29;47
20/09/2025;36;18;10;39;47
17/09/2025;2;25;47;32;37
15/09/2025;30;2;10;32;17
13/09/2025;29;31;6;41;28
10/09/2025;18;49;14;24;17
08/09/2025;30;42;21;10;22
06/09/2025;26;21;18;17;4
03/09/2025;31;30;24;2;36
01/09/2025;44;38;33;25;4
30/08/2025;23;15;34;39;4
27/08/2025;7;12;31;20;40
25/08/2025;32;22;42;21;14
23/08/2025;49;23;15;20;30
20/08/2025;2;27;36;40;1
18/08/2025;8;27;21;2;26
16/08/2025;31;5;18;45;4
13/08/2025;47;9;31;36;42
11/08/2025;40;30;44;1;10
09/08/2025;19;6;38;21;15
06/08/2025;5;23;18;19;49
04/08/2025;6;43;10;31;34
02/08/2025;14;22;15;31;48
30/07/2025;13;20;3;41;37
28/07/2025;25;6;22;27;30
26/07/2025;1;19;44;32;9
23/07/2025;18;30;5;43;29
21/07/2025;5;9;26;16;33
19/07/2025;25;18;19;45;24
16/07/2025;3;34;45;41;36
14/07/2025;37;28;27;6;20
12/07/2025;39;49;36;48;13
09/07/2025;36;1;45;22;25
07/07/2025;18;41;27;26;3
05/07/2025;32;46;37;25;42
02/07/2025;25;19;29;38;30
30/06/2025;17;12;8;10;18
28/06/2025;4;2;20;3;28
25/06/2025;32;26;2;5;44
23/06/2025;20;42;38;44;25
21/06/2025;34;25;49;18;20
18/06/2025;9;36;13;24;19
16/06/2025;1;2;13;39;4
14/06/2025;25;21;31;44;16
11/06/2025;9;19;7;18;15
09/06/2025;25;38;5;34;12
07/06/2025;7;30;40;37;45
04/06/2025;2;45;41;18;38
02/06/2025;25;36;29;8;13
31/05/2025;4;11;27;37;39
28/05/2025;26;32;25;38;4
26/05/2025;41;24;36;33;45
24/05/2025;49;39;45;14;32
21/05/2025;11;49;10;18;7
19/05/2025;8;30;43;42;33
17/05/2025;18;13;9;12;14
14/05/2025;34;42;31;12;43
12/05/2025;12;24;6;16;2
10/05/2025;49;12;42;29;13
07/05/2025;32;36;1;41;46
05/05/2025;8;34;38;47;9
03/05/2025;38;39;37;19;42
30/04/2025;8;31;42;3;5
28/04/2025;6;3;14;35;36
26/04/2025;39;15;23;45;3
23/04/2025;5;3;35;20;15
21/04/2025;5;13;30;48;8
19/04/2025;19;11;32;16;20
16/04/2025;13;38;27;40;39
14/04/2025;33;40;25;31;37
12/04/2025;3;18;10;13;47
09/04/2025;36;16;12;47;46
